kep_id,num_points,time_span,mean_flux,median_flux,std_flux,max_flux,min_flux,range_flux,koi_period,koi_duration,koi_depth,koi_prad,koi_ror,koi_dor,koi_sma,koi_impact,koi_model_snr,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,label
5471688,54969,1238.6038095034382,0.9999981094346576,1.0,0.0006304885607492,1.0257645845413208,0.9961267709732056,0.0296378135681152,6.69548172,4.8685,113.85,0.7949999999999999,0.009948499999999999,7.8385,0.05785,0.41315,12.899999999999999,985.165,1200.5,5947.5,4.619,0.731,0
10125352,65262,1470.4624652333005,0.9999421279295072,1.0,0.0005185635063301,1.0106457471847534,0.9952954649925232,0.0153502821922302,4.288515468,2.2959,3456.7,76.51,0.349955,6.14,0.0534,1.283,292.1,2081.57,1722.0,6378.0,3.878,2.002,0
7222086,65265,1470.4623101385805,1.00000074799377,1.0,0.0002990761694359,1.0040278434753418,0.996091902256012,0.0079359412193298,2.43902575,1.1598,82.5,2.61,0.008574,14.24,0.0436,0.483,20.5,6700.04,2307.0,6546.0,3.817,2.784,0
5375194,51814,1459.488900105578,0.9997669572953428,1.0,0.0047519203625648,1.028497338294983,0.9799827933311462,0.0485145449638366,13.52252364,3.987,690.6,2.11,0.02369,25.94,0.1063,0.216,22.4,42.82,652.0,5338.0,4.557,0.816,1
8299955,65263,1470.4623615036107,0.9999935180864388,1.0,0.0002458154705642,1.006006956100464,0.9983726143836976,0.0076343417167663,2.6827683,2.957,79.8,1.19,0.008932,4.61,0.0378,0.769,26.7,1366.57,1551.0,6180.0,4.262,1.223,0
12069414,54969,1238.603183324165,1.0000116884015515,1.0,0.0005403142688748,1.0485683679580688,0.9966194033622742,0.0519489645957946,0.589458602,0.8278,158.4,0.98,0.011524,5.514,0.0124,0.086,17.3,2736.51,1848.0,5286.0,4.517,0.776,0
11560397,64792,1459.489271330509,1.0000032495175089,1.0,0.0002018222184578,1.0106688737869265,0.9965124130249025,0.0141564607620239,0.527673051,1.631,28.3,1.43,0.004956,2.502,0.0143,0.216,13.5,63629.23,4056.0,6762.0,3.738,2.637,0
4933476,51814,1459.4888885792095,0.999935545109219,1.0,0.0091320225525587,1.0733892917633057,0.9731826186180116,0.1002066731452941,1.28619671,1.114,137.2,1.27,0.012568,4.61,0.0212,0.874,5.9,1740.01,1646.0,5650.0,4.391,0.926,0
2854914,64795,1459.4888377925015,1.000000723094169,1.0,0.0002540292107956,1.013291835784912,0.9974629282951356,0.0158289074897766,54.69020628,5.5751,458.75,2.605,0.019499,71.55499999999999,0.2781,0.036000000000000004,39.150000000000006,33.345,583.0,5952.0,4.287,1.225,1
7198648,64794,1459.489017654465,0.9996574253048996,1.0,0.005309819446062,1.0559391975402832,0.9791139364242554,0.0768252611160278,0.566799833,5.543,198.0,1.27,0.014788,1.028,0.0128,0.851,54.0,3084.6,1900.0,5488.0,4.584,0.789,0
6521526,54966,1238.6044031988497,0.9975428820020728,1.0,0.0247582998595472,1.134279489517212,0.9255968332290648,0.2086826562881469,103.039788,14.197,1370.0,2.05,0.032293,57.2,0.3592,0.039,15.9,0.46,210.0,3749.0,4.674,0.581,0
3644631,64796,1459.488872236885,1.0000117971598126,1.0,0.0005950128594843,1.0280660390853882,0.9975200295448304,0.0305460095405578,358.96247,23.49,670.8,2.37,0.023964,108.8,0.9901,0.424,12.1,0.81,242.0,5743.0,4.527,0.904,0
8750503,64798,1459.489106109504,1.0000022993937272,1.0,0.0011172678032743,1.037441611289978,0.993008017539978,0.04443359375,11.9283194,6.69,182.5,0.98,0.01201,13.78,0.0916,0.052,10.6,37.8,632.0,5010.0,4.545,0.75,0
4459068,65263,1470.4622635518754,0.9999959679347882,1.0,0.0003651696014547,1.0026408433914185,0.9941189289093018,0.0085219144821167,24.9559985,2.76331,4856.1,36.91,0.112001,34.08,0.2108,0.996,555.6,1011.42,1438.0,8617.0,3.78,3.018,0
10140843,65283,1470.4624302152224,1.0000010474980148,1.0,0.000200543684831,1.0096490383148191,0.9979458451271056,0.0117031931877136,367.19796,15.92,146.1,1.08,0.011111,177.6,0.9925,0.0858,10.7,0.96,253.0,6054.0,4.525,0.889,0
10214873,64793,1459.489166250547,0.99970174107408,1.0,0.0069645572655321,1.0221543312072754,0.9670992493629456,0.0550550818443298,5.959695593,1.8383,151.2,1.13,0.011755,19.706945,0.064,0.626,4.7,182.4,937.0,5717.0,4.538,0.884,0
9030537,64793,1459.4890858271465,0.999992070265876,1.0,0.0008921536064006,1.0296307802200315,0.9952244758605956,0.034406304359436,62.5613879,5.907,1372.6,3.54,0.038618,49.2,0.3017,0.842,35.0,7.13,417.0,5662.0,4.56,0.84,1
7661065,64792,1459.4891503739273,0.9995713929632724,1.0,0.0038213792416669,1.0228501558303833,0.9817127585411072,0.0411373972892761,4.150297119,1.2058,593.4,3.03,0.032359,9.26,0.0486,0.971,24.2,218.44,981.0,5290.0,4.519,0.858,0
6442340,65263,1470.462307388938,1.0000033387049092,1.0,0.0001921156547654,1.012256741523743,0.9988328218460084,0.0134239196777343,13.13747785,4.8655,106.9,1.32,0.010595,12.71,0.1084,0.816,25.6,109.68,825.0,5762.0,4.314,1.143,1
9532421,28677,642.551396079456,0.9995770667284924,1.0,0.0059932349541683,1.0496487617492676,0.9610137939453124,0.088634967803955,4.309067482,2.21,23647.0,101.41,1.176969,13.2,0.0474,1.993,82.0,142.6,882.0,4897.0,4.526,0.789,0
9272070,64792,1459.489168260472,1.0000144677294862,1.0,0.000539681305912,1.043012261390686,0.9975619316101074,0.0454503297805786,8.10503551,4.459,209.9,1.45,0.013451,13.21,0.0805,0.353,16.5,199.74,959.0,6201.0,4.472,0.989,1
9636559,30158,684.1354011205767,0.9969130298216026,1.0,0.0211716964835667,1.0663371086120603,0.7737342119216919,0.2926028966903686,10.63630585,5.17212,216060.0,64.91,0.441963,21.794,0.0977,0.398,1419.0,358.62,1110.0,6781.0,4.221,1.345,0
6523216,65263,1470.4623073924597,0.9995753523556832,1.0,0.0029444796884672,1.012410044670105,0.9777182340621948,0.0346918106079101,14.31315739,8.90236,21567.0,34.98,0.134636,13.9516,0.117,0.004,4262.9,404.48,1144.0,5750.0,3.703,2.379,0
11513486,63171,1421.2363303427337,0.9999449118759292,1.0,0.0015225447417117,1.037787914276123,0.9861263632774352,0.0516615509986877,6.64754478,1.961,289.3,1.72,0.015634,25.6,0.0717,0.235,12.4,235.89,999.0,6046.0,4.478,1.007,1
8226720,64793,1459.4890901004185,1.000002655698641,1.0,0.0002572195307157,1.0171496868133545,0.998306393623352,0.0188432931900024,391.33068,12.37,277.2,1.68,0.015737,212.5,1.0467,0.508,10.3,1.33,274.0,6428.0,4.457,0.977,0
8025718,64794,1459.489065779424,1.000003415832594,1.0,0.00024813161265,1.0085526704788208,0.99853515625,0.0100175142288208,371.18648,19.929,317.9,2.06,0.016373,144.1,1.0309,0.0845,18.1,1.68,291.0,6231.0,4.34,1.152,0
6049190,64793,1459.4889431791162,1.0000087091094938,1.0,0.0003247558632438,1.0122014284133911,0.9978586435317992,0.0143427848815917,70.468171,6.653,922.4,3.46,0.027996,83.15,0.3512,0.031,45.0,16.17,511.0,6461.0,4.396,1.131,1
6291837,65262,1470.4622933022329,0.999984196421452,1.0,0.000288860137402,1.0029594898223877,0.9984937310218812,0.0044657588005065,35.5969684,6.691,684.5,3.72,0.028165,20.6,0.2178,0.895,52.5,41.06,646.0,6212.0,4.309,1.209,1
10329469,64791,1459.4892385430503,1.0000090427746495,1.0,0.0005796609000848,1.0175892114639282,0.9965602159500122,0.021028995513916,55.8224775,5.457,879.6,2.13,0.026492,80.19,0.2663,0.031,23.7,4.85,379.0,5162.0,4.611,0.736,1
7118545,64794,1459.489007831762,0.9964876926539176,1.0,0.0258750264824817,1.0170272588729858,0.742002546787262,0.2750247120857239,14.79721916,7.61037,252700.0,47.71,0.469276,21.7165,0.1176,0.157,7795.3,90.8,787.0,6343.0,4.495,0.931,0
7455981,64794,1459.4889959465072,1.000003092967202,1.0,0.0001721026579679,1.0101910829544067,0.9988139271736144,0.0113771557807922,14.4540329,7.183,79.7,0.72,0.008382,13.28,0.1038,0.522,17.2,49.51,676.0,5559.0,4.496,0.79,1
11177676,51503,1459.4893262690966,0.9999912904771378,1.0,0.0006383922456243,1.0240799188613892,0.9969423413276672,0.0271375775337219,47.0320478,5.892,367.8,1.98,0.017222,61.25,0.2447,0.161,13.7,13.83,492.0,5370.0,4.337,1.055,1
4736439,64794,1459.4889392211553,1.0000005694389726,1.0,0.000455601196018,1.0126789808273315,0.9974383115768432,0.0152406692504882,194.896925,2.504,557.4,8.98,0.022201,520.0,0.6063,0.5298,8.8,25.77,575.0,5269.0,3.193,3.706,0
6891543,64797,1459.4889461699277,0.999890648521354,1.0,0.0031236232461238,1.0189955234527588,0.9872896671295166,0.0317058563232421,1.752567456,5.4993,607.3,26.56,0.244198,1.374,0.0283,1.218,92.2,1202.54,1502.0,5739.0,4.433,0.996,0
10363300,51735,1459.4891423587906,0.9890813985100873,1.0,0.0318811234249668,1.0501116514205933,0.8282656669616699,0.2218459844589233,0.934926138,3.1925,131940.0,58.67,0.498378,2.9075,0.0195,0.905,1149.3,3455.76,1957.0,5962.0,4.423,1.078,0
7749773,65263,1470.4623498104193,1.0000062764038915,1.0,0.0001936338378326,1.0035817623138428,0.9983071088790894,0.0052746534347534,13.7872627,5.747,75.1,1.55,0.009753,7.65,0.1151,0.921,23.9,150.64,894.0,5691.0,4.139,1.458,1
8938937,64792,1459.4891704492838,1.00001410365101,1.0,0.0008426947167762,1.0679115056991575,0.99544095993042,0.0724705457687377,37.1083458,4.112,366.5,1.71,0.018237,56.1,0.2162,0.612,7.9,13.84,492.0,5591.0,4.559,0.86,0
8107380,64794,1459.4890309470356,0.999999452914839,1.0,0.0002256172474715,1.0097506046295166,0.9987602829933168,0.0109903216361999,14.00640392,4.6919,716.4,3.11,0.025312,19.48,0.1126,0.568,109.3,100.09,807.0,5788.0,4.323,1.124,1
11874577,64795,1459.489267998135,1.0000111021039957,1.0,0.0004965035619793,1.0292638540267944,0.9977236390113832,0.0315402150154113,34.4585495,7.434,431.0,1.88,0.019948,28.5,0.2039,0.626,23.7,23.05,559.0,6161.0,4.545,0.862,1
10030778,41907,1238.603194844858,0.9999304972918812,1.0,0.0013916567883566,1.077439308166504,0.9849438667297364,0.0924954414367675,29.47316279,6.4327,12568.0,48.98,0.500076,22.06,0.1864,1.362,179.3,24.07,565.0,5838.0,4.529,0.897,0
7778621,64797,1459.4889870439,0.9999958927554808,1.0,0.000472882011618,1.017472743988037,0.99787700176239,0.0195957422256469,7.28171395,1.723,111.6,2.59,0.013154,10.88,0.0735,0.956,14.4,329.68,1086.0,4970.0,3.924,1.806,1
9394920,16212,366.4560469480275,1.0009915111735812,1.0000000596046448,0.0040326822304986,1.0118262767791748,0.9937372207641602,0.0180890560150146,1.38385822,1.0,444.1,2.51,0.021816,14.94,0.08399999999999999,0.545,23.4,234049.39,906.0,5780.0,4.438,1.0,0
11253827,65264,1470.4624616802466,0.9998338352765528,1.0,0.0077628654187544,1.0190402269363403,0.9728212356567384,0.046218991279602,65.7522649,5.7737,1819.3999999999999,4.01,0.038858000000000004,78.47,0.3058,0.4425,48.6,9.9,443.0,5593.0,4.45,0.945,1
5613330,65266,1470.46229241557,1.0000001122703612,1.0,0.0001715723942905,1.0037343502044678,0.9983695149421692,0.0053648352622985,16.82936587,7.46035,176.15,1.815,0.01091,16.455,0.1389,0.203,38.85,197.18,930.0,6188.0,4.196,1.524,1
5903312,65267,1470.46226974194,0.9999652628674548,1.0,0.001640412426949,1.007115364074707,0.9918968081474304,0.0152185559272766,1.16015259,1.3433,170.2,1.4,0.013013,4.58,0.0213,0.748,48.4,2229.29,1751.0,5842.0,4.433,0.985,0
5648449,65267,1470.4622627025092,1.0000579381138115,1.0,0.0152463336247962,1.0429084300994873,0.957593023777008,0.0853154063224792,4.348866254,3.2797,625.6,2436.69,0.219949,3.11,0.062,1.187,56.3,401588.95,6421.0,3598.0,0.65,101.451,0
